Column1;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
PCG;0,001290566;-6,51E-05;0,445821082;0,004118821;-0,006471538;0,105561147;0,959739677;1,40E-10;0,009716813;2,77E-09;0,050433277
TDY;0,003334727;0,002172555;0,301977549;0,004669082;-0,006623383;1,98E-08;0,022796654;1,42E-18;0,017733507;2,22E-19;0,138001625
MPWR;-0,000415846;0,000813149;0,449277765;0,007312706;-0,005432799;0,639556923;0,571503479;1,19E-06;0,019322084;1,04E-20;0,106807489
ADBE;-0,001598386;-0,002590965;0,338922336;0,004577617;-0,006240744;0,018864681;0,018672602;4,79E-13;0,021134058;1,43E-14;0,076496098
APA;0,005058902;0,002554302;-0,676474994;0,007932994;-0,005970867;0,000263025;0,253276439;0,00057269;0,023530406;4,37E-11;0,072566225
HES;0,005437336;0,001586095;-0,429122952;0,005398621;-0,00575331;1,90E-09;0,27419287;3,49E-07;0,026795171;5,02E-12;0,097604793
PFE;0,00114996;-0,002874097;0,252325677;0,002845988;-0,006890882;0,033378446;0,001038884;3,42E-23;0,030664916;1,35E-09;0,053360618
TTWO;-0,001984541;-0,001857342;0,293717569;0,002841919;-0,006087028;0,001789231;0,070377335;4,21E-14;0,032080445;2,33E-07;0,045880257
AWK;0,000398041;-0,003258104;0,247913833;0,003704144;-0,006567683;0,459051419;0,000191;1,79E-21;0,032939649;3,68E-15;0,075989688
HPE;0,004961596;0,000242199;-0,298567955;0,004660607;-0,006136752;5,34E-14;0,817608277;1,00E-13;0,033367486;2,72E-16;0,131051265
MAR;0,004984686;0,002420485;-0,327033305;0,003805926;-0,005853836;1,85E-11;0,041427903;2,70E-10;0,038968795;2,31E-09;0,098550747
TSLA;-0,001828589;0,001486388;0,49443718;0,005944767;-0,003612363;0,106974043;0,417889505;0,01100328;0,043666021;1,64E-09;0,052891893
CBRE;0,003425566;-2,59E-05;-0,296343391;0,005338089;-0,005944258;7,32E-07;0,981408907;8,71E-12;0,045989686;1,05E-18;0,112635908
TER;0,00067332;0,001357331;0,341441273;0,005539322;-0,006318687;0,395681053;0,290113795;2,96E-10;0,046321216;1,55E-15;0,082547532
UNH;0,001343576;-0,002412578;0,233211699;0,004988187;-0,006226076;0,013288083;0,006031132;2,77E-19;0,046465537;3,32E-25;0,122574324
COST;-0,000575077;-0,001342139;0,197997525;0,002990238;-0,0058797;0,223314269;0,079199937;3,27E-22;0,05237084;4,18E-13;0,063404778
AMD;-0,00109422;-0,001271788;0,37297274;0,005199687;-0,005291149;0,225317328;0,383763603;3,17E-06;0,055817983;3,76E-11;0,054354246
WAT;0,001445633;-0,000566676;-0,233492424;0,004186471;-0,006092413;0,011021375;0,537377014;4,20E-17;0,05709231;4,59E-17;0,087271295
EA;-0,001622698;-2,69E-05;0,204536779;0,002650727;-0,006633632;0,001269542;0,973603831;1,20E-24;0,059488056;1,28E-09;0,058079076
RVTY;0,000419745;5,93E-05;-0,252310041;0,003269249;-0,006205702;0,49944755;0,952943947;4,40E-15;0,060373916;1,47E-09;0,047160239
REGN;-0,001525425;-0,000890083;0,23234388;0,002481991;-0,006142192;0,009706273;0,350318731;2,81E-16;0,067909449;1,15E-06;0,037605123
AZO;0,002131022;-0,000632227;0,213184081;0,004042923;-0,006182254;9,92E-05;0,473639571;7,72E-19;0,070426245;3,11E-17;0,095301262
HD;0,001437245;-0,000671343;0,214112667;0,004857571;-0,006480115;0,009399739;0,45269131;5,41E-20;0,072926791;3,03E-23;0,116035024
KLAC;0,000813735;-0,001485191;0,308486059;0,006217014;-0,005395731;0,307748723;0,250062586;8,16E-08;0,073574703;8,41E-19;0,089473433
KEYS;0,000452075;3,57E-05;0,234318838;0,003957025;-0,00612812;0,456056536;0,970956115;2,13E-15;0,073862291;8,60E-14;0,06792032
AMAT;0,000932646;0,000640415;0,310358947;0,006652097;-0,005775072;0,24987772;0,625289672;1,64E-08;0,076391331;1,35E-20;0,10416087
SLB;0,006134817;0,002445058;-0,341080976;0,006024828;-0,006581237;1,16E-11;0,090672666;5,26E-09;0,076996325;1,24E-14;0,120901991
ETSY;-0,002442038;-0,00146088;0,418623187;0,004496446;-0,00612542;0,026958161;0,412963591;1,00E-05;0,078962584;2,49E-06;0,033778167
HIG;0,005059224;0,002837811;0,254652691;0,004950202;-0,006469471;1,22E-13;0,009174896;3,63E-14;0,079460494;4,84E-17;0,147763753
INTC;0,00052088;-0,002058281;0,26990936;0,005586101;-0,00702579;0,466076198;0,075342427;1,10E-14;0,080543867;6,72E-19;0,088647062
WST;-0,001345476;-0,0011708;0,23840173;0,00365025;-0,005612622;0,033992676;0,253859016;2,94E-12;0,081832985;3,90E-11;0,056735511
YUM;0,002361292;-0,000873482;-0,188091209;0,003838633;-0,006319144;3,00E-06;0,282837577;1,35E-22;0,083268879;3,73E-18;0,103863755
BBY;0,002255934;0,001402445;0,266641659;0,004266869;-0,006968018;0,00160806;0,224495138;1,59E-14;0,083672037;6,98E-12;0,072391026
ZBH;0,001949507;0,001068588;-0,212787943;0,003268263;-0,006195586;0,000725928;0,250986944;3,19E-17;0,086870563;6,86E-11;0,067792059
OTIS;0,002032923;-0,000122712;-0,201424939;0,002393852;-0,005692557;0,000104947;0,889698117;1,89E-17;0,09078987;1,79E-06;0,047018178
FTNT;-0,001639903;-0,000646201;0,269425202;0,004729652;-0,005274761;0,029948572;0,596652021;3,02E-08;0,098478621;7,15E-13;0,066276014
ENPH;6,99E-05;0,004865799;0,474140734;0,007484727;-0,004770925;0,95827331;0,024673131;0,004414324;0,100707122;1,28E-10;0,063574016
CCI;0,000390513;-0,002615692;0,200328901;0,004254162;-0,006605349;0,491042877;0,004454473;9,54E-20;0,10211057;1,38E-17;0,082685197
