Column1;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
ACN;-0,000999613;0,000662946;0,394551459;0,010188507;-0,000918348;0,101243191;0,543752918;0,603750128;0,010318974;2,22E-39;0,639970647
MSI;0,001708512;-0,001878993;0,459346868;0,008605997;-0,001038308;0,01974338;0,151529919;0,624034146;0,012585231;1,57E-24;0,467451637
CLX;-0,002235495;-0,00265439;-0,541964231;0,003535611;-0,000324127;0,017440208;0,114437628;0,905022692;0,021558811;0,000210743;0,109088946
WYNN;0,006566302;0,006230519;-0,829971152;0,017015814;-0,003406737;7,92E-06;0,016169823;0,414023394;0,021779061;1,06E-24;0,49325153
KEYS;-0,001427888;0,003979354;0,485005979;0,008421565;-0,001716908;0,091816239;0,009233752;0,484718301;0,022889736;4,21E-19;0,438706932
AMT;-0,000487591;-0,00282871;0,449525607;0,00968563;-0,005090528;0,536152868;0,046642532;0,027346666;0,023875687;6,16E-26;0,473036007
JPM;0,007699038;0,000245263;0,297569138;0,011025129;-0,003276595;4,87E-32;0,800289455;0,038095437;0,029038871;5,80E-50;0,778142762
UHS;0,005951352;0,000348088;0,548302971;0,012151217;-0,004764613;1,53E-08;0,847554069;0,105624109;0,031239589;3,34E-25;0,519437575
META;-0,004421238;-0,000200418;-0,679349719;0,011363979;0,002238031;0,00052118;0,929097717;0,540012073;0,0319144;1,71E-16;0,342249524
TRV;0,006699149;-0,001919595;0,315201833;0,008361161;-0,001839288;2,28E-23;0,070263418;0,283193548;0,033699918;9,63E-32;0,647441806
AME;0,001440298;9,62E-05;0,271189815;0,009736881;-0,000459741;0,005036118;0,916053626;0,755972542;0,034515025;2,25E-46;0,690761299
MET;0,00978549;0,000583333;0,301048445;0,012404103;-0,002829212;7,58E-41;0,568350557;0,088842402;0,036105727;9,19E-54;0,811998844
HON;0,005162919;-0,000854515;0,305151138;0,010766979;-0,00361676;3,75E-16;0,412334533;0,033155273;0,03707451;1,15E-44;0,706630511
SWKS;-0,000725858;0,00190964;-0,415375424;0,011819016;-0,001413799;0,370076977;0,189607194;0,548320556;0,041815144;6,30E-33;0,553994115
AES;0,003605421;0,006659636;0,504457768;0,00993596;-0,003816792;0,000357441;0,000243789;0,18770888;0,044086884;3,63E-19;0,467695006
AMP;0,006359468;0,002260815;0,299965531;0,01353554;-0,000399869;1,83E-21;0,034340748;0,81633491;0,044404675;1,03E-56;0,791838083
VRSN;-0,004322201;-0,003877129;0,301527439;0,008729255;-0,002687543;2,83E-11;0,000519838;0,1327446;0,050911263;7,62E-32;0,586787819
CB;0,0065348;-0,002748632;0,319411642;0,008631842;-0,001647381;1,77E-19;0,019162134;0,383440843;0,050923108;5,63E-29;0,60564815
CNC;0,001575283;-0,003112778;0,519201003;0,009562021;-0,004211246;0,137022561;0,101961121;0,171744171;0,051273861;1,79E-16;0,335342255
AAPL;-0,003253608;-0,005057795;-0,295897879;0,011563177;0,002595343;1,93E-07;5,47E-06;0,140318116;0,051686684;2,02E-46;0,673913999
COO;-0,00153716;-0,000429969;0,378246454;0,010105916;-0,003159119;0,047491697;0,756344684;0,160544488;0,051899058;2,37E-28;0,51541346
CCI;-0,000428079;-0,003302374;0,406711053;0,008520006;-0,005564859;0,606630274;0,027875066;0,022295421;0,052288717;6,93E-20;0,38312252
MCK;0,001872359;-0,002498401;0,382674357;0,005541057;0,002944961;0,018237528;0,078399653;0,199661089;0,053906595;3,70E-11;0,252939549
COR;0,00191378;-0,001465231;0,331068095;0,005958635;0,000753749;0,005675824;0,234434674;0,705409431;0,055254986;1,70E-15;0,333406881
KHC;0,002542257;-0,000368751;-0,358568084;0,004989723;0,000965466;0,000850175;0,784549792;0,658780304;0,058261329;3,36E-10;0,227184679
UNH;0,001550231;-0,006787299;0,37030874;0,009068028;-0,000887851;0,047233268;2,32E-06;0,694738312;0,058776117;4,71E-24;0,451796374
GPC;0,005001284;-0,002851204;0,329377747;0,011982881;-0,002857737;1,88E-11;0,02456431;0,162716897;0,062550287;2,59E-40;0,656263447
AMZN;-0,007685829;-0,000714398;-0,386124343;0,009544164;0,001406081;2,73E-17;0,630048213;0,558645097;0,063570796;9,91E-24;0,543858044
ALLE;0,00371487;0,001114141;0,352466098;0,011803923;-0,005075845;2,05E-06;0,414402856;0,022560698;0,065598375;9,97E-36;0,615505626
AOS;0,002890523;0,002535824;0,337534293;0,009891451;-0,001543425;0,000108915;0,054997843;0,469308114;0,067463517;1,39E-29;0,559842298
ELV;0,003512079;-0,006169037;0,421260912;0,01047381;-0,00229514;0,000180443;0,000246083;0,39215466;0,069448079;3,47E-23;0,451694667
RTX;0,007948167;0,000853114;0,362311756;0,010852496;-0,004759416;6,04E-19;0,55469372;0,043009505;0,073665094;1,43E-29;0,616949043
L;0,007742826;0,000137927;0,239706843;0,009039654;-0,001773611;6,48E-33;0,885237649;0,252924596;0,073836427;4,84E-40;0,735628158
TSCO;-0,001499992;0,000686384;0,397937026;0,006550232;0,001778298;0,09170197;0,666263884;0,490706911;0,074693659;4,80E-12;0,277615829
MSCI;-0,005166759;-0,001437737;0,327712747;0,011942213;-0,000927419;3,64E-11;0,277867628;0,665415497;0,077479333;9,89E-38;0,642915855
AON;0,001727344;-0,00500248;0,333456484;0,009600227;-0,001896201;0,022270392;0,00026445;0,385791314;0,077832823;1,99E-27;0,489166452
WRB;0,007088595;-0,001284205;0,286169805;0,00766595;-0,001293128;1,45E-21;0,277324277;0,499298601;0,083940894;4,85E-24;0,581499094
IRM;0,004348745;0,001176895;-0,397573561;0,010878576;0,001137299;4,10E-06;0,475641441;0,670462458;0,085625136;1,36E-24;0,47325648
BAX;-0,000266819;-0,002141045;0,379579136;0,005848371;-0,006932224;0,762204756;0,177267102;0,007434462;0,087403052;3,55E-10;0,214701785
COST;-0,002512686;-0,003194785;0,290548359;0,00681268;0,001030224;0,00028154;0,009499897;0,602790257;0,089818746;3,28E-19;0,395691197
APD;0,000942878;-0,00122939;-0,33078056;0,007887079;-0,000564488;0,22711291;0,380017866;0,803408318;0,091854393;1,64E-19;0,35371641
JCI;0,00380087;0,001276128;0,324777601;0,010720797;-0,00245208;1,51E-06;0,354364682;0,272395197;0,092488017;4,83E-31;0,571280095
PWR;0,003941467;0,002773375;0,374837411;0,010515233;0,00410281;1,39E-05;0,082126725;0,11230706;0,092600196;1,07E-24;0,506860314
NKE;-0,000392389;3,91E-05;-0,36251377;0,011306946;-0,001056935;0,649305254;0,979855418;0,673813929;0,095180018;2,20E-28;0,48676012
SHW;-0,000550112;-0,001656453;0,316743025;0,009900556;-0,001136436;0,466854018;0,222970895;0,60536551;0,095956153;2,25E-28;0,500693015
JKHY;0,000758892;-0,00131593;0,336190796;0,007492622;-0,003697039;0,346754208;0,363497375;0,115974883;0,097482386;3,61E-17;0,343021388
CSCO;-0,000537728;-0,001372997;0,298202293;0,006600333;-0,001723861;0,454787158;0,288183725;0,41033688;0,099483926;7,79E-17;0,336383453
CAT;0,006109863;0,002516534;0,342129208;0,00786746;0,000704238;3,75E-12;0,090591221;0,769319941;0,099616323;7,86E-18;0,472300677
EXR;0,000694194;-0,001095269;0,37770772;0,009675182;-0,00204188;0,450142146;0,506892289;0,445288635;0,102449347;1,05E-20;0,39944317
TJX;0,004042133;0,000156546;0,329969768;0,012112159;-0,002716374;1,05E-06;0,913497585;0,245636172;0,102498914;2,22E-34;0,597326389
LULU;-0,003874271;0,000878382;-0,418106958;0,012019273;0,002814154;0,000201522;0,632825441;0,345365553;0,104745827;2,80E-24;0,462277565
ADM;0,005635486;-0,002400971;0,276816923;0,007457751;-0,000456353;1,71E-14;0,050171376;0,817454126;0,105574317;5,20E-22;0,510910054
SBAC;-0,001688936;-0,004062631;0,344748728;0,009476619;-0,004522509;0,047101201;0,008070912;0,067502755;0,105682153;1,17E-22;0,424792873
TER;-0,002173276;0,004380094;0,438114527;0,015141756;-0,002956276;0,045549343;0,025000553;0,348001072;0,107523728;4,27E-31;0,570290027
VZ;0,002165546;-0,002497066;0,265763541;0,003451759;-0,004229726;0,001151915;0,035356305;0,027940206;0,108165156;4,20E-07;0,191383356
ISRG;-0,002799635;-0,000456031;0,337968486;0,012870665;-0,001231395;0,000980855;0,761712778;0,613480737;0,108937297;3,26E-35;0,59409322
UDR;0,005393142;0,000409394;0,328732344;0,012395263;-0,006789845;4,37E-10;0,781245188;0,004909426;0,111701578;2,12E-34;0,612065617
FOXA;0,006031065;0,001377789;-0,342029217;0,007699104;-0,002037545;3,88E-11;0,373513837;0,416695088;0,114704506;3,70E-16;0,412062117
RMD;-0,003394043;-0,003399297;0,413922679;0,010065356;-0,003498682;0,001328327;0,070775272;0,249977021;0,115005084;3,76E-18;0,374544103
RSG;0,001731505;-0,004933768;0,211547515;0,00758363;-4,48E-05;0,001513614;7,83E-07;0,977216633;0,118763757;2,58E-31;0,540055062
IEX;0,000906629;0,000949755;0,226671453;0,007953661;-0,001176358;0,119018477;0,36209054;0,485909145;0,120341307;3,10E-30;0,540767694
WM;0,00145458;-0,003105817;0,224669927;0,005844167;-0,000243058;0,013053772;0,003258647;0,88575268;0,124631379;2,59E-19;0,379820317
NI;0,003988691;-0,004811048;0,261967266;0,008170509;-0,003760381;1,74E-08;0,000108487;0,058117419;0,125180137;3,67E-25;0,500271315
REG;0,011007337;0,003815782;0,367375581;0,013058286;-0,006247381;9,88E-24;0,02719648;0,025683333;0,126818974;4,74E-30;0,652766415
HCA;0,004469858;-0,000437803;0,358465597;0,013180341;-0,001375469;4,20E-06;0,796392698;0,61703508;0,131693041;6,27E-31;0,556974473
WFC;0,010585097;0,002630164;0,305675122;0,011352382;-0,004031171;1,26E-28;0,070280826;0,086794161;0,13171753;2,37E-31;0,680396456
GE;0,007360838;0,003709769;0,362670238;0,010402807;-0,001051003;7,32E-13;0,032123069;0,706349432;0,1326673;1,20E-21;0,522460108
IQV;0,000265215;-0,000462151;0,270890263;0,013639445;-0,002173253;0,71113855;0,719297648;0,297639429;0,132754848;4,59E-46;0,679066222
NCLH;0,011065496;0,012508848;-0,67896617;0,020063105;-0,003873056;4,25E-09;0,000145949;0,460003651;0,133914354;1,66E-22;0,512599846
VLO;0,013221593;0,002717668;0,449217653;0,010133068;-0,001912877;1,87E-22;0,205431141;0,58173354;0,134516262;6,07E-15;0,525034678
BXP;0,011030354;0,004511279;0,35178762;0,011995922;-0,009454689;1,38E-24;0,007753512;0,00062073;0,134853688;1,50E-27;0,643960972
ABBV;0,001214366;-0,004504891;0,27164525;0,006284604;-9,30E-05;0,09419171;0,000630869;0,964740202;0,135382551;1,75E-15;0,315661221
CME;0,001310766;-0,003155759;0,261255563;0,006903959;-0,002620496;0,061385552;0,012441857;0,197655363;0,136624773;7,24E-19;0,366668198
AAL;0,011685934;0,010860621;-0,602188517;0,017402814;-0,006430085;1,01E-11;0,000234116;0,172362783;0,138456496;2,07E-21;0,515858422
MOH;0,000518735;-0,001766233;0,408195674;0,009157422;9,49E-05;0,635826178;0,369564569;0,97625427;0,138529218;1,39E-14;0,294970948
CMCSA;0,002705943;-0,000105851;0,274316775;0,007478131;-0,003352908;0,00030808;0,936269603;0,119264697;0,139231566;1,43E-19;0,408095031
NDAQ;-0,001456828;-0,0020109;0,226728275;0,009687802;-0,000830147;0,017670442;0,067363782;0,639895795;0,139372341;8,72E-37;0,59446425
EA;-0,00228145;-0,003107554;-0,301763033;0,005913344;0,000797733;0,005473916;0,034337792;0,736054105;0,140247957;9,61E-12;0,240244415
ZTS;-0,003059819;-0,001705352;0,264429897;0,009929987;-0,001555354;2,86E-05;0,184882376;0,454883508;0,141448451;9,18E-31;0,547967848
EQR;0,004986105;-0,000326535;0,293788875;0,011227294;-0,006382877;2,31E-09;0,819353813;0,00637035;0,142547761;2,18E-31;0,577056922
PODD;-0,00448727;0,004519675;0,486763976;0,011154611;-0,003614823;0,000844941;0,058645698;0,349069486;0,144289608;9,78E-15;0,365957667
PAYX;0,001682796;-0,001251651;0,237106974;0,011416069;-0,00230124;0,010763982;0,287402149;0,227684029;0,149761356;2,09E-41;0,639565557
GIS;-0,000250488;-0,004795128;-0,240853807;0,001616425;0,001083242;0,707051987;8,58E-05;0,576593205;0,150836533;0,016478106;0,09447629
LIN;0,002090152;-0,001339171;0,209699362;0,009556138;2,05E-05;0,000412149;0,201126168;0,990336094;0,152233993;2,41E-38;0,615145638
ULTA;0,005860646;0,000973349;0,397921437;0,012694493;-0,002045215;3,23E-07;0,62488051;0,526223493;0,153559073;2,02E-23;0,485038068
TECH;-0,005254293;0,002987969;0,339270109;0,010080047;-0,001319073;1,09E-07;0,082067819;0,634528246;0,157150126;7,96E-21;0,480436159
AXP;0,008027531;0,00212656;0,272003644;0,014395016;-0,003720967;1,08E-20;0,12295387;0,096014768;0,157783603;2,29E-45;0,729746715
NUE;0,006078162;0,0038541;0,426221545;0,010713147;0,00197554;9,94E-07;0,075779798;0,572967308;0,159306784;4,75E-16;0,401871315
BAC;0,009430908;0,002069731;0,210269319;0,012065688;-0,004485103;6,45E-37;0,053503991;0,010111738;0,159454517;1,19E-49;0,790901727
OMC;0,006704842;0,002141933;0,261619501;0,00887376;-0,003326834;1,34E-16;0,108112484;0,123501769;0,159880695;4,98E-25;0,571551697
NTRS;0,005786257;4,56E-05;0,245853798;0,01152553;-0,005001181;3,86E-14;0,971407874;0,016101378;0,167878256;6,87E-38;0,653210411
NDSN;0,001287477;0,00178646;0,215899287;0,010768338;-0,000951842;0,040020107;0,111741272;0,600006581;0,168645394;6,99E-41;0,650822924
TXT;0,007298107;0,002545569;0,240312027;0,012249043;-0,000925771;1,07E-20;0,042701125;0,647612297;0,169732693;7,27E-42;0,712241315
JNPR;0,001163605;-0,000460603;0,255577553;0,008675753;-0,002129328;0,117567091;0,729287693;0,324103579;0,170370282;3,57E-24;0,451027519
DPZ;-0,003230624;-0,001518358;0,297737098;0,006726016;-0,001562963;0,00023713;0,328053423;0,534164003;0,170444151;4,57E-13;0,303917923
HIG;0,009420285;-0,000734611;0,256876823;0,011020263;-0,002603926;4,35E-27;0,583542765;0,231208439;0,17099901;2,03E-33;0,674203566
KDP;0,001102353;-0,000171763;0,19998467;0,004367936;-0,000703419;0,059772035;0,869648451;0,678437637;0,172556244;2,64E-12;0,266670053
