;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
MSFT;-0,004908535544895702;-0,005378312742034011;-0,06048631989896211;0,010013147514544433;0,0019254228078695171;4,338684051845894e-19;4,9733077199609805e-09;0,1783555119557634;0,6031924417563153;2,195557951863743e-52;0,7258674885902119
AAPL;-0,0034040104068535837;-0,005617789719044375;-0,17687308440223473;0,01151946451031896;0,00244500563142555;2,523494308860551e-08;1,8866409254475136e-07;0,14864887637624474;0,19953638765052154;1,0128344414289569e-50;0,6879902866536054
NVDA;-0,008548989544760856;-0,0004251050016619399;-0,11618020252746741;0,015077756179298333;0,007133771391710084;1,5309075912702177e-14;0,8164855150141174;0,016951292011453553;0,6309202506512701;4,8041731410816985e-35;0,6094183195784567
AMZN;-0,007580120209590565;-0,00097910964047564;-0,2861605280901254;0,009540701530900284;0,0009878422163373216;1,3945456152709062e-17;0,49570227938806366;0,6711867418972841;0,13225859130738946;5,461316496722358e-26;0,5423695102514612
META;-0,0042354094414383875;-0,0003987626752962878;-0,5950806573405593;0,011203511869647324;0,0016409331730939493;0,0005920747566490907;0,8532043486715843;0,6383571569626387;0,03742722758752218;4,863808927915162e-18;0,3475123452091803
GOOGL;-0,0035112917280760592;-0,0021113456059920145;-0,03145024413175475;0,010242400618208644;0,0010758098086460202;3,106836423432797e-06;0,10541632703134732;0,6094550338826975;0,8545476462150464;4,875281408100695e-33;0,5458238899149044
GOOG;-0,0036596576268886826;-0,002106575845961588;-0,01044105931265756;0,010166022616043987;0,0010855650982011609;1,4953579713935641e-06;0,1091166000848538;0,6092094056794628;0,9518719099973163;2,4813935467768273e-32;0,5409597775769119
LLY;-0,0026215052046140897;-0,00448579745005888;0,16312766006749818;0,005933941824423186;0,005081724606435722;0,00791446436142549;0,010352090803993597;0,0717648907870724;0,47664770524523303;2,1490425057985984e-09;0,19994445508661252
AVGO;-0,0010522381362165836;-0,0013836871699564191;-0,10661718656846741;0,011792286493764022;0,0034375017615602957;0,17244962160945737;0,3112150063322913;0,12098739427697341;0,5540565173876552;2,2417175361391793e-37;0,5732232342558923
JPM;0,0075962374184014424;-0,00031731806829901404;0,3773944209269016;0,010533421428343232;-0,0030964454836664643;1,0481313792916507e-31;0,7416325465941391;0,04803476647326733;0,003284238238264952;3,680005990035114e-50;0,7742048619323297
