;coefHML;coefSML;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorrmrf;r2
MSFT;-0,005608200925693702;-0,003257591762144788;0,009982681956201441;0,00024387247025653715;1,6949652605345114e-32;4,977023084920217e-08;0,7610769048900914;4,5820632784113386e-157;0,45771286344970274
AAPL;-0,004898761311041395;0,00033001017632382776;0,011054821079980346;0,0025981019685435112;1,4201400762661595e-11;0,7224971056743363;0,03856704140605782;1,5073036550712169e-90;0,30419866653557115
NVDA;-0,008406014820983665;0,007444874152832639;0,01691463737222625;0,002842141692223803;7,383762920373482e-15;8,30661145688293e-08;0,12763743174124173;4,641052686242766e-95;0,3560699310572363
AMZN;-0,008669872420835206;0,002000749930090299;0,012569058445263931;0,0013753867039920627;2,197701087069502e-21;0,0846716818092533;0,3798545960130929;2,2856345284748616e-77;0,29511901414399144
META;-0,003301013004308352;-0,0004112520212171778;0,004219658877644943;0,0012524026024695921;8,843637873813756e-09;0,5770549057474277;0,20859634351145373;5,305304128052736e-25;0,10189419669623989
GOOGL;-0,0016913685952006667;-0,0007552372809313003;0,008028466389097544;0,0018610208394544544;0,0009464614826581547;0,25277879680025656;0,03700508759251584;6,358370438830228e-94;0,29570975659738097
GOOG;-0,001724590396197419;-0,0008265130251257931;0,00805222649233813;0,0018725587788915833;0,0007797376818910709;0,21221747100291657;0,036446063121147725;6,95263576661683e-94;0,2952835666038637
LLY;-0,001493889392217738;-0,004408182802226402;0,006691909432801059;0,0008638537411071266;0,004669955856942664;1,4358947557090055e-10;0,348207335373667;3,1641800947771046e-65;0,209539137831521
AVGO;-0,0015343026444325062;0,0007533669270553507;0,0059303333921762015;0,002344368914226581;0,0029076909023211797;0,25759208052012544;0,009157782295533318;3,888689283772942e-55;0,19490436755227802
JPM;0,009810342264631329;-0,002512669974167954;0,013265123496952042;-0,0015223811685864056;1,2724199924606766e-76;8,748294202545974e-05;0,07764420904623251;3,0518904054050654e-213;0,6190005828170967
TSLA;-0,004334376423591677;0,0023021726194142017;0,007284814238724055;0,002633760336907113;6,240825066187785e-07;0,03986188198135076;0,08157307048002571;1,6984255732125575e-31;0,1331546977181166
XOM;0,0053423582970598335;-0,0014382626963899837;0,0074481270309835835;-0,0008694780140288416;7,580035699268793e-35;0,00830824164966082;0,23684292829095135;5,3716878657656336e-114;0,41018847971290195
V;0,0012947172477935755;-0,00034202446022990265;0,006551601319156427;0,0010746810352725625;0,000763268599767052;0,49082829002197703;0,10902675923810166;1,7226481087299073e-107;0,3406396625702347
UNH;0,002500666112240622;-0,0046188545325914045;0,008831806408055524;0,0018292198549348607;2,3140867578330546e-05;1,7206221822568541e-09;0,07540713735942739;8,728531373226408e-87;0,28572888845646527
MA;0,0018340486394647993;-1,6806104297424746e-05;0,008018331539053385;0,002141384436067368;0,00020963696913633506;0,9789874834830408;0,013055200863906918;3,583262103691512e-99;0,3230990257502959
