;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
MSFT;-0,004846957008761995;-0,0054097592872133695;0,00192352651253469;0,010041797443409845;0,0019341728352330941;4,489465302302321e-25;3,4889518094611755e-13;0,06341960867147242;0,9802248155804218;2,6128930403843492e-79;0,7312718828502749
AAPL;-0,0035326052573966104;-0,0048708504979358;-0,158209054859624;0,011359757694135105;0,0022128483515326605;1,4501451829922718e-08;2,136012380460631e-06;0,13360793674716082;0,15094836825506774;3,5126827784395983e-60;0,606549026664112
NVDA;-0,008235643308375399;0,0006013495800175466;0,060017553123441564;0,01546956203861742;0,0031597143013642756;6,374415632369969e-15;0,7186732068063996;0,1952784964064904;0,7415435682261191;2,888959720779124e-46;0,5646684441509116
AMZN;-0,0076218914216656195;-0,0010432851042086824;-0,008967392568027949;0,010095349601513905;0,0001921700397255245;1,0432196382201941e-22;0,381560952227571;0,9120205138378452;0,9449610911796831;1,0644490527593127e-40;0,550860739617745
META;-0,004646306939931254;0,0002824895808381132;-0,45698090309744305;0,01139530755391317;0,00029020004121878046;1,4630675617035481e-05;0,8720693487846853;0,9097652328843304;0,017376740204466137;3,0214551621585883e-27;0,3605191907711759
GOOGL;-0,0033505126923475863;-0,0024425012055466445;0,026951340445331762;0,01034824196660026;0,0002402778210088991;4,838799714053972e-07;0,02477708467174425;0,8792535910751187;0,8195275103119475;3,025833296299566e-48;0,5384846837741508
GOOG;-0,0034615814203819307;-0,00249247729176566;0,03659187119791185;0,010331485398202535;0,0002669198202963029;2,466406233774221e-07;0,022863185119028188;0,8668449342499085;0,7582736525035542;1,0521137296520353e-47;0,5360518747660998
LLY;-0,0024871906211884408;-0,0049152537364185196;0,07398270412370078;0,006317267798114113;0,004083058022252683;0,0035598044641403583;0,0005472173572376531;0,047692253843315824;0,6299165015547659;4,875430299535502e-15;0,21584450563426016
AVGO;-0,0009010010607618324;-0,0008668935505964241;-0,006982871752567565;0,01116725031036975;0,001853966034991536;0,2734867986985169;0,5257907503988644;0,3527721049003508;0,962596977610676;1,2387077425383494e-38;0,4492392417028279
JPM;0,00781010425650382;-0,0004776374604614493;0,2686178725232645;0,01062586559776781;-0,0014423622168536464;8,48463223897015e-46;0,5341673579719349;0,1988640076675272;0,0014644167989646187;1,557130782624807e-77;0,7773102727625166
TSLA;-0,0060233431827077235;0,004273768834824227;0,13162602058831863;0,017044643924874155;0,003627669850052393;0,0004870965036844507;0,1332735204525383;0,38205173541836124;0,6709286226538015;4,918296098867118e-24;0,34613524316048494
XOM;0,009563570056929108;0,0005366563754807504;-0,11622995957085491;0,008885740372373266;-0,0010697810343307166;1,0060134881785185e-31;0,6567182844912856;0,5439197115382189;0,3774573761304889;5,0261942078600735e-33;0,5533578700379528
V;0,00012710844016632978;-0,0017729534511441666;0,012580244027524584;0,009869370564942758;7,242112473788672e-05;0,8036604318965503;0,03756892560434874;0,9534293090231958;0,8919533519043819;1,2273728290777505e-62;0,617988920689878
UNH;0,000933474384581499;-0,0058884048858790766;0,16321561915948346;0,009514782370425828;-0,00011771504578634033;0,20591405805027382;2,3509071762785553e-06;0,9475004617537434;0,2221032497775778;8,058639370864146e-36;0,4298538970714081
MA;0,0005549187516911296;-0,0021639133617955206;-0,11280700452285958;0,011523959478973158;0,0006956411115888932;0,34966125297378514;0,028694618703363622;0,6286639689850628;0,29403477385200866;3,51146615283453e-63;0,6158322747818517
PG;-0,0010999366641676076;-0,005561325075957895;-0,04871934799255568;0,006173261134484355;-0,00015130912398483138;0,029227167952681658;1,2250683281789285e-10;0,9012069905293854;0,592603660969057;3,0218744196158337e-33;0,40401338103885875
JNJ;0,00011624142023865323;-0,0037898184533690484;0,0040410034009762535;0,005540809281290438;-0,0012635726836782097;0,8231578613978989;1,572100912148343e-05;0,3169363567495428;0,9657900055353124;1,0890957571944672e-26;0,32864844269997107
HD;-0,00025298176576216244;-0,0010680875095214135;0,10430823822048307;0,011076622594878672;-0,0010185342399855733;0,6990570231945412;0,3263200095176675;0,5211630019280831;0,3791531242289671;1,0367536336565817e-52;0,5629899691212703
MRK;0,0008112735116642969;-0,0035278774660616116;0,00920931472915773;0,004262202336067311;0,0009255155364025063;0,22420517287917963;0,0015857133042295735;0,5671974186919494;0,9392173494914748;1,042900008149115e-11;0,15771770410314934
COST;-0,0027483126016245103;-0,0035274736025991404;0,1483130744410237;0,007396114919662974;0,001622220793934611;6,586136598015787e-06;0,0004585152916857947;0,26529125505820067;0,1728860656983862;1,942432535997291e-33;0,4261315388486534
ABBV;0,000941364373702698;-0,005516115237639252;0,34225573136780185;0,007545050466249687;-0,001437796955049124;0,21188007915416493;1,4234866869244972e-05;0,4314507719737052;0,012560167873592034;3,1502021833605408e-24;0,3386486705857874
CRM;-0,006027368425146406;0,0015326327841554727;-0,17678623596111365;0,012254242358980443;0,00022528121341330377;1,383839218002926e-12;0,25890065195972706;0,9093884851249671;0,23229996664679647;1,214024073682336e-44;0,5449287321426203
