Date;Mkt-RF;SMB;HML;RF;rendimientos apple;% Fundflows
03/01/2018;0,59;-0,39;-0,18;0,60%;0,63%;-0,08%
04/01/2018;0,42;-0,26;0,24;0,60%;0,42%;-0,36%
05/01/2018;0,66;-0,35;-0,26;0,60%;0,66%;-0,19%
08/01/2018;0,19;-0,15;0,05;0,60%;0,18%;-0,46%
09/01/2018;0,15;-0,35;-0,04;0,60%;0,23%;0,82%
10/01/2018;-0,07;0,07;0,57;0,60%;-0,15%;0,43%
11/01/2018;0,87;1,15;0,31;0,60%;0,73%;1,27%
12/01/2018;0,66;-0,31;0,16;0,60%;0,65%;0,96%
16/01/2018;-0,49;-1,02;0,01;0,60%;-0,34%;-0,48%
17/01/2018;0,95;-0,03;-0,1;0,60%;0,95%;-0,07%
18/01/2018;-0,18;-0,5;-0,25;0,60%;-0,17%;2,14%
19/01/2018;0,57;0,94;-0,04;0,60%;0,45%;-0,38%
22/01/2018;0,77;-0,34;-0,16;0,60%;0,81%;1,10%
23/01/2018;0,22;0,14;-0,36;0,60%;0,21%;0,81%
24/01/2018;-0,13;-0,84;0,44;0,60%;-0,04%;0,81%
25/01/2018;0,07;0,14;-0,54;0,60%;0,04%;-0,13%
26/01/2018;1,11;-0,61;-0,51;0,60%;1,15%;0,08%
29/01/2018;-0,62;-0,02;-0,25;0,60%;-0,67%;-0,26%
30/01/2018;-1,06;0,14;-0,21;0,60%;-1,03%;1,55%
31/01/2018;-0,07;-0,74;0,11;0,60%;0,05%;1,44%
01/02/2018;0,03;0,08;0,54;0,60%;-0,11%;0,22%
02/02/2018;-2,13;0,04;-0,29;0,60%;-2,20%;-0,48%
05/02/2018;-4,03;0,78;-0,58;0,60%;-4,27%;-0,38%
06/02/2018;1,67;-0,52;-0,18;0,60%;1,95%;-1,61%
07/02/2018;-0,38;0,53;0,21;0,60%;-0,54%;-2,35%
08/02/2018;-3,68;0,81;0,52;0,60%;-3,82%;-0,02%
09/02/2018;1,36;-0,58;0,15;0,60%;1,49%;-2,56%
12/02/2018;1,36;-0,46;-0,29;0,60%;1,46%;-0,64%
13/02/2018;0,31;0,08;-0,24;0,60%;0,25%;2,47%
14/02/2018;1,52;0,26;0,49;0,60%;1,34%;-0,11%
15/02/2018;1,21;-0,14;-0,63;0,60%;1,27%;-0,23%
16/02/2018;0,03;0,36;0,16;0,60%;0,03%;0,21%
20/02/2018;-0,62;-0,36;-0,24;0,60%;-0,63%;-1,10%
21/02/2018;-0,43;0,79;0,23;0,60%;-0,50%;-0,08%
22/02/2018;0,01;0,05;-0,41;0,60%;0,13%;0,75%
23/02/2018;1,54;-0,38;-0,15;0,60%;1,58%;0,12%
26/02/2018;1,12;-0,51;-0,07;0,60%;1,16%;-0,84%
27/02/2018;-1,25;-0,19;0,03;0,60%;-1,26%;1,65%
28/02/2018;-1,11;-0,42;-0,31;0,60%;-1,02%;0,87%
01/03/2018;-1,19;1,01;-0,02;0,50%;-1,47%;0,13%
02/03/2018;0,7;1,17;-0,49;0,50%;0,51%;-0,96%
05/03/2018;1,06;-0,39;0,23;0,50%;1,15%;-0,81%
06/03/2018;0,36;0,69;0,12;0,50%;0,25%;-0,67%
07/03/2018;0,05;0,78;-0,44;0,50%;-0,04%;-0,71%
08/03/2018;0,37;-0,48;-0,36;0,50%;0,48%;-0,42%
09/03/2018;1,7;-0,25;0,28;0,50%;1,73%;0,89%
12/03/2018;-0,09;0,47;-0,08;0,50%;-0,13%;1,11%
13/03/2018;-0,67;0,08;0,03;0,50%;-0,65%;0,98%
14/03/2018;-0,53;0,23;-0,57;0,50%;-0,51%;0,62%
15/03/2018;-0,18;-0,39;0,32;0,50%;-0,11%;0,12%
16/03/2018;0,25;0,47;0,18;0,50%;-0,29%;-1,76%
19/03/2018;-1,38;0,35;0,41;0,50%;-1,36%;0,31%
20/03/2018;0,15;-0,08;-0,36;0,50%;0,17%;-1,02%
21/03/2018;-0,06;0,75;0,45;0,50%;-0,19%;-0,82%
22/03/2018;-2,54;0,51;-0,49;0,50%;-2,53%;0,40%
23/03/2018;-2,09;0,21;-0,23;0,50%;-2,15%;-2,63%
26/03/2018;2,67;-0,68;0,03;0,50%;2,70%;-2,55%
27/03/2018;-1,87;-0,21;0,37;0,50%;-1,72%;0,13%
28/03/2018;-0,35;0,14;0,65;0,50%;-0,30%;0,93%
29/03/2018;1,41;-0,32;-0,22;0,50%;1,27%;-0,44%
02/04/2018;-2,29;-0,15;0,36;0,70%;-2,18%;-0,86%
03/04/2018;1,24;-0,04;0,19;0,70%;1,27%;-0,64%
04/04/2018;1,17;0,33;-0,32;0,70%;1,06%;-0,50%
05/04/2018;0,75;0,03;0,46;0,70%;0,79%;-0,09%
06/04/2018;-2,19;0,39;-0,06;0,70%;-2,25%;0,41%
09/04/2018;0,3;-0,15;-0,53;0,70%;0,49%;-0,65%
10/04/2018;1,77;0,4;-0,12;0,70%;1,58%;1,50%
11/04/2018;-0,49;0,92;-0,31;0,70%;-0,53%;-0,08%
12/04/2018;0,84;-0,23;0,18;0,70%;0,82%;0,03%
13/04/2018;-0,37;0,03;-0,24;0,70%;-0,29%;-0,01%
16/04/2018;0,82;0,08;-0,02;0,70%;0,82%;0,15%
17/04/2018;1,09;0,16;-1,18;0,70%;1,06%;-0,05%
18/04/2018;0,13;0,21;0,02;0,70%;0,07%;0,01%
19/04/2018;-0,49;-0,47;1,08;0,70%;-0,56%;0,30%
20/04/2018;-0,81;0,06;0,58;0,70%;-0,85%;-0,17%
23/04/2018;-0,05;-0,07;0,2;0,70%;-0,02%;0,43%
24/04/2018;-1,3;0,54;1,02;0,70%;-1,36%;1,01%
25/04/2018;0,1;-0,33;0,08;0,70%;0,25%;-0,86%
26/04/2018;0,96;-0,39;-0,85;0,70%;1,01%;-0,37%
27/04/2018;0,01;-0,26;0,03;0,70%;0,09%;0,53%
30/04/2018;-0,8;0,02;-0,1;0,70%;-0,77%;0,33%
01/05/2018;0,24;0,22;-0,54;0,60%;0,18%;-0,10%
02/05/2018;-0,63;1,28;-0,36;0,60%;-0,67%;0,24%
03/05/2018;-0,25;-0,52;-0,15;0,60%;-0,22%;-0,49%
04/05/2018;1,3;0,02;-0,2;0,60%;1,29%;-0,48%
07/05/2018;0,42;0,41;-0,34;0,60%;0,34%;0,75%
08/05/2018;0,07;0,49;0,24;0,60%;0,00%;0,07%
09/05/2018;0,89;-0,22;0,26;0,60%;0,96%;0,69%
10/05/2018;0,85;-0,43;-0,04;0,60%;0,93%;0,09%
11/05/2018;0,19;0,13;-0,38;0,60%;0,31%;0,81%
14/05/2018;0,05;-0,36;0,1;0,60%;0,05%;0,17%
15/05/2018;-0,55;0,67;0,41;0,60%;-0,69%;0,12%
16/05/2018;0,5;0,71;-0,25;0,60%;0,42%;0,60%
17/05/2018;0,02;0,9;0,3;0,60%;-0,09%;0,33%
18/05/2018;-0,23;0,57;-0,61;0,60%;-0,25%;-0,31%
21/05/2018;0,72;-0,19;0,44;0,60%;0,75%;-0,28%
22/05/2018;-0,42;-0,76;0,61;0,60%;-0,28%;0,28%
23/05/2018;0,29;0,05;-0,7;0,60%;0,28%;0,13%
24/05/2018;-0,16;0,37;-0,35;0,60%;-0,21%;0,50%
25/05/2018;-0,21;0,25;-0,4;0,60%;-0,24%;0,44%
29/05/2018;-1,04;1,33;-1,02;0,60%;-1,16%;-0,47%
30/05/2018;1,31;0,05;0,37;0,60%;1,33%;-0,34%
31/05/2018;-0,7;0,07;-0,43;0,60%;-0,61%;-0,04%
01/06/2018;1,06;-0,23;-0,11;0,60%;0,98%;-0,22%
04/06/2018;0,48;0,17;-0,45;0,60%;0,47%;-0,46%
05/06/2018;0,17;0,82;-0,44;0,60%;0,07%;1,07%
06/06/2018;0,86;-0,33;0,2;0,60%;0,83%;-0,59%
07/06/2018;-0,14;-0,3;0,93;0,60%;-0,01%;-0,57%
08/06/2018;0,31;0,08;-0,4;0,60%;0,30%;0,15%
11/06/2018;0,12;0,18;-0,17;0,60%;0,13%;-0,30%
12/06/2018;0,23;0,23;-0,63;0,60%;0,13%;-0,76%
13/06/2018;-0,33;0,08;-0,2;0,60%;-0,32%;0,13%
14/06/2018;0,27;0,32;-1;0,60%;0,25%;0,24%
15/06/2018;-0,08;0,05;-0,25;0,60%;-0,58%;-0,72%
18/06/2018;-0,09;0,72;0,08;0,60%;-0,21%;0,49%
19/06/2018;-0,38;0,57;-0,14;0,60%;-0,38%;0,70%
20/06/2018;0,23;0,73;-0,51;0,60%;0,17%;0,15%
21/06/2018;-0,73;-0,63;0,33;0,60%;-0,63%;-0,05%
22/06/2018;0,11;0;0,46;0,60%;0,18%;-0,48%
25/06/2018;-1,48;-0,54;0,57;0,60%;-1,37%;0,00%
26/06/2018;0,27;0,63;-0,24;0,60%;0,22%;-0,10%
27/06/2018;-1,02;-1;0,36;0,60%;-0,83%;-0,98%
28/06/2018;0,58;-0,18;-0,51;0,60%;0,57%;0,00%
29/06/2018;0,07;-0,2;-0,24;0,60%;0,14%;0,03%
02/07/2018;0,36;0,44;-0,25;0,80%;0,21%;-0,60%
03/07/2018;-0,44;0,81;-0,02;0,80%;-0,35%;0,10%
05/07/2018;0,87;0,44;-0,43;0,80%;0,81%;0,37%
06/07/2018;0,88;0,05;-0,3;0,80%;0,84%;-0,39%
09/07/2018;0,93;-0,41;0,85;0,80%;0,90%;-0,10%
10/07/2018;0,21;-0,78;-0,17;0,80%;0,36%;0,38%
11/07/2018;-0,69;-0,02;-0,45;0,80%;-0,73%;-0,50%
12/07/2018;0,86;-0,35;-1,14;0,80%;0,90%;0,88%
13/07/2018;0,08;-0,12;-0,3;0,80%;0,08%;-0,47%
16/07/2018;-0,16;-0,78;0,98;0,80%;-0,09%;-0,48%
17/07/2018;0,48;0,26;-0,76;0,80%;0,40%;0,27%
18/07/2018;0,27;-0,27;0,67;0,80%;0,21%;0,01%
19/07/2018;-0,34;0,96;-0,36;0,80%;-0,38%;-0,11%
20/07/2018;-0,1;-0,19;0,12;0,80%;-0,11%;0,09%
23/07/2018;0,15;-0,3;0,55;0,80%;0,19%;-0,59%
24/07/2018;0,22;-1,36;0,39;0,80%;0,50%;0,35%
25/07/2018;0,83;-0,43;-1,06;0,80%;0,85%;0,87%
26/07/2018;-0,2;0,64;0,57;0,80%;-0,24%;0,36%
27/07/2018;-0,82;-1,38;1,06;0,80%;-0,68%;-0,21%
30/07/2018;-0,7;-0,21;1,57;0,80%;-0,52%;0,31%
31/07/2018;0,51;0,85;-1,11;0,80%;0,49%;0,24%
01/08/2018;-0,13;0,04;-0,19;0,70%;-0,17%;0,65%
02/08/2018;0,67;0,31;-0,67;0,70%;0,54%;-0,99%
03/08/2018;0,31;-1,07;0,52;0,70%;0,43%;-1,16%
06/08/2018;0,46;0,25;-0,34;0,70%;0,37%;-0,12%
07/08/2018;0,29;0,03;-0,17;0,70%;0,33%;-0,02%
08/08/2018;-0,04;-0,12;0,27;0,70%;-0,04%;0,45%
09/08/2018;-0,05;0,37;-0,35;0,70%;-0,14%;1,63%
10/08/2018;-0,6;0,39;-0,21;0,70%;-0,67%;0,40%
13/08/2018;-0,46;-0,15;-0,29;0,70%;-0,38%;-0,38%
14/08/2018;0,69;0,31;0,21;0,70%;0,64%;-0,30%
15/08/2018;-0,91;-0,54;-0,13;0,70%;-0,75%;-0,03%
16/08/2018;0,86;-0,06;0,25;0,70%;0,81%;0,09%
17/08/2018;0,3;0,09;0,01;0,70%;0,35%;0,64%
20/08/2018;0,25;0,12;0,14;0,70%;0,21%;-0,39%
21/08/2018;0,33;0,91;0,12;0,70%;0,23%;0,28%
22/08/2018;0,05;0,36;-0,35;0,70%;-0,06%;0,16%
23/08/2018;-0,19;-0,06;-0,32;0,70%;-0,13%;-0,46%
24/08/2018;0,62;-0,02;-0,58;0,70%;0,60%;-0,03%
27/08/2018;0,74;-0,67;-0,16;0,70%;0,79%;-0,31%
28/08/2018;-0,01;-0,11;-0,24;0,70%;0,05%;0,74%
29/08/2018;0,56;-0,04;-0,58;0,70%;0,54%;0,50%
30/08/2018;-0,41;0,29;-0,42;0,70%;-0,41%;0,14%
31/08/2018;0,08;0,5;-0,38;0,70%;0,00%;-0,39%
04/09/2018;-0,11;-0,37;0,01;0,80%;-0,17%;-0,30%
05/09/2018;-0,41;-0,18;0,66;0,80%;-0,27%;-0,09%
06/09/2018;-0,44;-0,35;-0,24;0,80%;-0,30%;0,89%
07/09/2018;-0,18;0,1;-0,21;0,80%;-0,20%;-0,34%
10/09/2018;0,23;0,12;-0,37;0,80%;0,17%;-0,16%
11/09/2018;0,37;-0,29;-0,24;0,80%;0,33%;0,37%
12/09/2018;0,03;-0,06;-0,23;0,80%;0,02%;-0,29%
13/09/2018;0,45;-0,44;-0,4;0,80%;0,59%;-0,02%
14/09/2018;0,12;0,26;0,25;0,80%;0,02%;-0,21%
17/09/2018;-0,71;-0,46;0,83;0,80%;-0,53%;0,38%
18/09/2018;0,57;0,05;-0,48;0,80%;0,54%;1,89%
19/09/2018;0,06;-0,66;1,28;0,80%;0,11%;-0,28%
20/09/2018;0,77;0,31;-0,22;0,80%;0,81%;1,95%
21/09/2018;-0,13;-0,42;0,3;0,80%;-0,54%;0,92%
24/09/2018;-0,31;0,06;-0,9;0,80%;-0,33%;-1,39%
25/09/2018;-0,05;0,27;-0,38;0,80%;-0,09%;-0,22%
26/09/2018;-0,4;-0,38;-0,63;0,80%;-0,30%;-0,24%
27/09/2018;0,27;-0,26;-0,55;0,80%;0,28%;0,38%
28/09/2018;-0,03;0,4;-0,2;0,80%;0,01%;-0,03%
01/10/2018;0,16;-1,62;0,34;0,80%;0,35%;-0,28%
02/10/2018;-0,21;-0,98;0,59;0,80%;-0,06%;0,37%
03/10/2018;0,2;0,84;0,51;0,80%;0,06%;0,32%
04/10/2018;-0,93;-1,06;1,57;0,80%;-0,79%;-0,03%
05/10/2018;-0,64;-0,43;0,38;0,80%;-0,56%;1,15%
08/10/2018;-0,17;-0,4;1,22;0,80%;0,00%;-0,54%
09/10/2018;-0,18;-0,29;0,28;0,80%;-0,15%;0,53%
10/10/2018;-3,33;0,29;1,1;0,80%;-3,22%;0,27%
11/10/2018;-1,96;0,45;-0,92;0,80%;-2,23%;0,84%
12/10/2018;1,38;-0,88;-1,74;0,80%;1,38%;-2,14%
15/10/2018;-0,48;0,92;0,51;0,80%;-0,56%;-0,73%
16/10/2018;2,24;0,68;-1,43;0,80%;2,16%;-1,11%
17/10/2018;-0,08;-0,68;0,25;0,80%;0,02%;-0,55%
18/10/2018;-1,54;-0,54;0,42;0,80%;-1,46%;1,10%
19/10/2018;-0,25;-1,33;0,71;0,80%;-0,05%;0,38%
22/10/2018;-0,38;0,48;-1,25;0,80%;-0,45%;-0,24%
23/10/2018;-0,62;-0,1;-0,41;0,80%;-0,51%;0,26%
24/10/2018;-3,33;-0,93;0,77;0,80%;-3,08%;-0,20%
25/10/2018;1,93;0,42;-0,58;0,80%;1,78%;1,23%
26/10/2018;-1,65;0,58;0,35;0,80%;-1,77%;-0,56%
29/10/2018;-0,77;-0,33;1,62;0,80%;-0,56%;-1,10%
30/10/2018;1,66;0,42;0,08;0,80%;1,47%;1,47%
31/10/2018;1,22;-0,66;-0,74;0,80%;1,06%;0,85%
01/11/2018;1,29;1,35;-1,14;0,80%;1,06%;-0,52%
02/11/2018;-0,53;0,79;0,67;0,80%;-0,59%;-0,60%
05/11/2018;0,4;-1,01;1,55;0,80%;0,55%;0,23%
06/11/2018;0,58;-0,16;0,03;0,80%;0,63%;0,04%
07/11/2018;2,11;-0,33;-1,06;0,80%;2,12%;0,35%
08/11/2018;-0,28;-0,25;0,26;0,80%;-0,18%;0,27%
09/11/2018;-1,04;-0,86;0,41;0,80%;-0,98%;-0,03%
12/11/2018;-2,06;0,01;0,85;0,80%;-1,89%;-0,42%
13/11/2018;-0,13;-0,11;0,16;0,80%;-0,19%;-0,03%
14/11/2018;-0,77;0,03;-0,29;0,80%;-0,69%;0,23%
15/11/2018;1,18;0,36;-0,41;0,80%;1,04%;0,42%
16/11/2018;0,15;0,02;-0,05;0,80%;0,26%;0,22%
19/11/2018;-1,88;-0,73;2,3;0,80%;-1,71%;-0,47%
20/11/2018;-1,85;0,14;-0,53;0,80%;-1,87%;0,34%
21/11/2018;0,51;0,98;-0,34;0,80%;0,34%;0,79%
23/11/2018;-0,55;0,83;-0,59;0,80%;-0,67%;-0,39%
26/11/2018;1,62;-0,66;-0,2;0,80%;1,60%;-0,39%
27/11/2018;0,11;-1,09;0,26;0,80%;0,34%;-0,20%
28/11/2018;2,42;0,45;-1,16;0,80%;2,28%;0,55%
29/11/2018;-0,22;-0,1;-0,1;0,80%;-0,22%;1,28%
30/11/2018;0,78;-0,33;-0,43;0,80%;0,61%;0,72%
03/12/2018;1,13;-0,05;-0,8;1,10%;1,32%;-1,07%
04/12/2018;-3,45;-0,97;-0,21;1,10%;-3,29%;0,18%
06/12/2018;-0,16;0,14;-1,05;1,10%;-0,15%;-1,07%
07/12/2018;-2,36;0,2;1,32;1,10%;-2,35%;-0,95%
10/12/2018;0,1;-0,11;-1,62;1,10%;0,19%;0,15%
11/12/2018;-0,08;-0,05;-0,4;1,10%;0,02%;-0,16%
12/12/2018;0,68;0,57;-0,19;1,10%;0,50%;0,30%
13/12/2018;-0,26;-1,51;-0,19;1,10%;-0,03%;0,74%
14/12/2018;-1,89;-0,07;0,5;1,10%;-1,86%;-0,51%
17/12/2018;-2,13;-0,26;1,09;1,10%;-1,98%;0,50%
18/12/2018;-0,03;0,03;-0,6;1,10%;-0,11%;0,97%
19/12/2018;-1,58;-0,62;0,04;1,10%;-1,51%;0,07%
