Date;Mkt-RF;SMB;HML;RF;rendimientos apple;% Fundflows
4/1/18;0,42;-0,26;0,24;0,60%;0,46%;-0,36%
5/1/18;0,66;-0,35;-0,26;0,60%;1,13%;-0,19%
8/1/18;0,19;-0,15;0,05;0,60%;-0,37%;-0,46%
9/1/18;0,15;-0,35;-0,04;0,60%;-0,02%;0,82%
10/1/18;-0,07;0,07;0,57;0,60%;-0,02%;0,43%
11/1/18;0,87;1,15;0,31;0,60%;0,57%;1,27%
12/1/18;0,66;-0,31;0,16;0,60%;1,02%;0,96%
16/1/18;-0,49;-1,02;0,01;0,60%;-0,50%;-0,48%
17/1/18;0,95;-0,03;-0,1;0,60%;1,62%;-0,07%
18/1/18;-0,18;-0,5;-0,25;0,60%;0,09%;2,14%
19/1/18;0,57;0,94;-0,04;0,60%;-0,42%;-0,38%
22/1/18;0,77;-0,34;-0,16;0,60%;-0,83%;1,10%
23/1/18;0,22;0,14;-0,36;0,60%;0,02%;0,81%
24/1/18;-0,13;-0,84;0,44;0,60%;-1,62%;0,81%
25/1/18;0,07;0,14;-0,54;0,60%;-1,78%;-0,13%
26/1/18;1,11;-0,61;-0,51;0,60%;0,23%;0,08%
29/1/18;-0,62;-0,02;-0,25;0,60%;-2,10%;-0,26%
30/1/18;-1,06;0,14;-0,21;0,60%;-0,60%;1,55%
31/1/18;-0,07;-0,74;0,11;0,60%;0,29%;1,44%
1/2/18;0,03;0,08;0,54;0,60%;0,21%;0,22%
2/2/18;-2,13;0,04;-0,29;0,60%;-4,46%;-0,48%
5/2/18;-4,03;0,78;-0,58;0,60%;-2,52%;-0,38%
6/2/18;1,67;-0,52;-0,18;0,60%;4,11%;-1,61%
7/2/18;-0,38;0,53;0,21;0,60%;-2,18%;-2,35%
8/2/18;-3,68;0,81;0,52;0,60%;-2,77%;-0,02%
9/2/18;1,36;-0,58;0,15;0,60%;0,80%;-2,56%
12/2/18;1,36;-0,46;-0,29;0,60%;3,96%;-0,64%
13/2/18;0,31;0,08;-0,24;0,60%;1,00%;2,47%
14/2/18;1,52;0,26;0,49;0,60%;1,81%;-0,11%
15/2/18;1,21;-0,14;-0,63;0,60%;3,31%;-0,23%
16/2/18;0,03;0,36;0,16;0,60%;-0,32%;0,21%
20/2/18;-0,62;-0,36;-0,24;0,60%;-0,35%;-1,10%
21/2/18;-0,43;0,79;0,23;0,60%;-0,44%;-0,08%
22/2/18;0,01;0,05;-0,41;0,60%;0,82%;0,75%
23/2/18;1,54;-0,38;-0,15;0,60%;1,75%;0,12%
26/2/18;1,12;-0,51;-0,07;0,60%;1,94%;-0,84%
27/2/18;-1,25;-0,19;0,03;0,60%;-0,31%;1,65%
28/2/18;-1,11;-0,42;-0,31;0,60%;-0,16%;0,87%
1/3/18;-1,19;1,01;-0,02;0,50%;-1,77%;0,13%
2/3/18;0,7;1,17;-0,49;0,50%;0,68%;-0,96%
5/3/18;1,06;-0,39;0,23;0,50%;0,34%;-0,81%
6/3/18;0,36;0,69;0,12;0,50%;-0,07%;-0,67%
7/3/18;0,05;0,78;-0,44;0,50%;-0,93%;-0,71%
8/3/18;0,37;-0,48;-0,36;0,50%;1,07%;-0,42%
9/3/18;1,7;-0,25;0,28;0,50%;1,70%;0,89%
12/3/18;-0,09;0,47;-0,08;0,50%;0,97%;1,11%
13/3/18;-0,67;0,08;0,03;0,50%;-0,97%;0,98%
14/3/18;-0,53;0,23;-0,57;0,50%;-0,85%;0,62%
15/3/18;-0,18;-0,39;0,32;0,50%;0,11%;0,12%
16/3/18;0,25;0,47;0,18;0,50%;-0,34%;-1,76%
19/3/18;-1,38;0,35;0,41;0,50%;-1,54%;0,31%
20/3/18;0,15;-0,08;-0,36;0,50%;-0,05%;-1,02%
21/3/18;-0,06;0,75;0,45;0,50%;-2,29%;-0,82%
22/3/18;-2,54;0,51;-0,49;0,50%;-1,43%;0,40%
23/3/18;-2,09;0,21;-0,23;0,50%;-2,35%;-2,63%
26/3/18;2,67;-0,68;0,03;0,50%;4,64%;-2,55%
27/3/18;-1,87;-0,21;0,37;0,50%;-2,58%;0,13%
28/3/18;-0,35;0,14;0,65;0,50%;-1,12%;0,93%
29/3/18;1,41;-0,32;-0,22;0,50%;0,79%;-0,44%
2/4/18;-2,29;-0,15;0,36;0,70%;-0,67%;-0,86%
3/4/18;1,24;-0,04;0,19;0,70%;1,03%;-0,64%
4/4/18;1,17;0,33;-0,32;0,70%;1,88%;-0,50%
5/4/18;0,75;0,03;0,46;0,70%;0,70%;-0,09%
6/4/18;-2,19;0,39;-0,06;0,70%;-2,60%;0,41%
9/4/18;0,3;-0,15;-0,53;0,70%;0,99%;-0,65%
10/4/18;1,77;0,4;-0,12;0,70%;1,86%;1,50%
11/4/18;-0,49;0,92;-0,31;0,70%;-0,46%;-0,08%
12/4/18;0,84;-0,23;0,18;0,70%;0,97%;0,03%
