Date;Mkt-RF;SMB;HML;RF;Fundflows
2018-01-12;1,81;0,39;1,07;0,029;3,028
2018-01-19;0,84;-0,64;-0,38;0,029;1,218
2018-01-26;2,05;-1,52;-1,14;0,029;2,669
2018-02-02;-3,81;-0,5;-0,11;0,029;2,476
2018-02-09;-5,09;1,05;0,09;0,029;-6,931
2018-02-16;4,51;0,09;-0,54;0,029;1,688
2018-02-23;0,48;0,12;-0,59;0,029;-0,323
2018-03-02;-1,74;1,02;-0,86;0,029;0,855
2018-03-09;3,6;0,36;-0,18;0,029;-1,71
2018-03-16;-1,21;0,86;-0,13;0,029;1,057
2018-03-23;-5,82;1,69;-0,24;0,029;-3,76
2018-03-29;1,8;-1,07;0,87;0,029;-1,929
2018-04-06;-1,38;0,54;0,66;0,036;-1,68
2018-04-13;2,05;1;-1,05;0,036;0,799
2018-04-20;0,73;0,04;0,49;0,036;0,237
2018-04-27;-0,29;-0,52;0,5;0,036;0,746
2018-05-04;-0,16;1,02;-1,35;0,035;-0,498
2018-05-11;2,43;0,4;-0,27;0,035;2,403
2018-05-18;-0,22;2,48;-0,05;0,035;0,911
2018-05-25;0,22;-0,28;-0,41;0,035;1,083
2018-06-01;0,6;1,25;-1,24;0,034;-1,065
2018-06-08;1,68;0,44;-0,14;0,034;-0,393
2018-06-15;0,21;0,89;-2,26;0,034;-1,401
2018-06-22;-0,85;1,37;0,23;0,034;0,799
2018-06-29;-1,6;-1,29;-0,05;0,034;-1,055
2018-07-06;1,65;1,77;-1,01;0,04;-0,518
2018-07-13;1,39;-1,68;-1,22;0,04;0,194
2018-07-20;0,14;-0,02;0,66;0,04;-0,224
2018-07-27;0,17;-2,83;1,52;0,04;0,768
2018-08-03;0,65;-0,09;0,16;0,041;-0,952
2018-08-10;0,05;0,92;-0,8;0,041;2,33
2018-08-17;0,46;-0,37;0,05;0,041;0,026
2018-08-24;1,06;1,34;-0,99;0,041;-0,44
2018-08-31;0,96;-0,03;-1,8;0,041;0,683
2018-09-07;-1,14;-0,79;0,22;0,037;0,16
2018-09-14;1,2;-0,41;-1;0,037;-0,302
2018-09-21;0,54;-1,2;1,73;0,037;4,855
2018-09-28;-0,52;0,08;-2,64;0,037;-1,494
2018-10-05;-1,42;-3,22;3,34;0,049;1,524
2018-10-12;-4,26;-0,76;-0,03;0,049;-1,049
2018-10-19;-0,15;-1;0,51;0,049;-0,905
2018-10-26;-4,06;0,41;-1,04;0,049;0,49
2018-11-02;2,88;1,62;0,55;0,044;0,099
2018-11-09;1,75;-2,61;1,18;0,044;0,858
2018-11-16;-1,65;0,29;0,28;0,044;0,415
2018-11-23;-3,74;1,17;0,84;0,044;0,272
2018-11-30;4,78;-1,81;-1,67;0,044;1,956
