Date;Mkt-RF;SMB;HML;RF
2000-01-07;-2,49;-0,26;0,89;0,103
2000-01-14;2,07;1,96;-1,5;0,103
2000-01-21;0,02;6,94;-2,81;0,103
2000-01-28;-5,71;0,17;1,75;0,103
2000-02-04;4,46;1,26;-2,94;0,108
2000-02-11;-1,45;6,24;-2,83;0,108
2000-02-18;-1,89;5,32;-1,15;0,108
2000-02-25;0,29;2,65;-1,77;0,108
2000-03-03;6,46;2,55;-1,38;0,117
2000-03-10;-0,33;2,05;-0,04;0,117
2000-03-17;1,76;-10,04;3,03;0,117
2000-03-24;3,12;-4,09;0,87;0,117
2000-03-31;-3,29;-5,39;4,76;0,117
2000-04-07;0;-1,24;0,67;0,115
2000-04-14;-13,74;-8,53;8,08;0,115
2000-04-20;6,13;2,54;-3,38;0,115
2000-04-28;2,29;1,91;1,11;0,115
2000-05-05;-1,35;1,52;0,52;0,126
2000-05-12;-2,05;-4,15;3,59;0,126
2000-05-19;-1,5;-1,56;1,11;0,126
2000-05-26;-3,05;-3,22;1,4;0,126
2000-06-02;9,26;3,44;-5,43;0,099
2000-06-09;-0,65;4,66;-1,21;0,099
2000-06-16;-0,17;-0,27;0,06;0,099
2000-06-23;-1,15;1,82;-0,81;0,099
2000-06-30;1,2;3,91;-2,18;0,099
2000-07-07;1,59;-1,62;1,73;0,12
2000-07-14;2,77;0,15;-1;0,12
2000-07-21;-2,41;0,12;1,45;0,12
2000-07-28;-5,4;-2,44;6,38;0,12
2000-08-04;3,23;-2,81;1,84;0,126
2000-08-11;0,46;-0,05;1,41;0,126
2000-08-18;1,42;0,41;-1,27;0,126
2000-08-25;1,24;1,69;-2,81;0,126
2000-09-01;1,91;1,07;-1,31;0,127
2000-09-08;-2,25;-0,73;3,56;0,127
2000-09-15;-1,88;0,07;2,33;0,127
2000-09-22;-1,11;-0,48;-0,56;0,127
2000-09-29;-0,71;-0,94;2,42;0,127
2000-10-06;-3,73;-1,59;3,39;0,14
2000-10-13;-2,67;-0,36;1,3;0,14
2000-10-20;1,94;-0,43;-2,43;0,14
2000-10-27;-1,73;-0,55;3,17;0,14
2000-11-03;4,07;1,05;-1,22;0,127
2000-11-10;-5,48;-1,23;5,54;0,127
2000-11-17;-0,39;0,05;2;0,127
2000-11-24;-2,63;-0,49;2,15;0,127
2000-12-01;-2,72;-2,39;4,03;0,126
2000-12-08;5,3;-0,88;-1,5;0,126
2000-12-15;-4,76;0,12;2,92;0,126
2000-12-22;-1,14;-1,83;5,19;0,126
2000-12-29;1,53;1,94;1,16;0,126
2001-01-05;-2,67;1,7;-0,23;0,134
2001-01-12;2,59;3,63;-3,76;0,134
2001-01-19;1,63;1,01;-2,75;0,134
2001-01-26;0,97;-1,02;2,17;0,134
2001-02-02;-0,71;0,53;2,46;0,094
2001-02-09;-2,73;0,67;3,95;0,094
2001-02-16;-0,86;0,52;1,6;0,094
2001-02-23;-4,57;-0,32;2,27;0,094
2001-03-02;-1,28;-0,89;3,34;0,104
2001-03-09;-0,51;-0,64;2,19;0,104
2001-03-16;-6,91;0,01;2,82;0,104
2001-03-23;-0,87;0,89;-1,49;0,104
2001-03-30;1,51;-0,24;2,19;0,104
2001-04-06;-3,24;-1,17;1,36;0,098
2001-04-12;5,26;0,07;-3,67;0,098
2001-04-20;5,2;-1,17;-3,48;0,098
2001-04-27;0,68;2,2;1,54;0,098
2001-05-04;1,58;1,42;-1,29;0,081
2001-05-11;-1,75;0,89;2,35;0,081
2001-05-18;3,72;0,09;-0,83;0,081
2001-05-25;-0,67;1,58;-0,34;0,081
2001-06-01;-1,55;-0,03;2,28;0,07
2001-06-08;0,51;1,4;-1,79;0,07
2001-06-15;-4,37;0,47;2,85;0,07
2001-06-22;0,6;-1,74;0,51;0,07
2001-06-29;0,86;5,45;-2,43;0,07
2001-07-06;-3,18;-2,67;2,62;0,075
2001-07-13;1,86;-1,14;1,85;0,075
2001-07-20;-0,65;1;0,05;0,075
2001-07-27;-0,49;-0,99;0,49;0,075
2001-08-03;0,69;-0,25;0,63;0,077
2001-08-10;-2,3;-0,48;1,16;0,077
2001-08-17;-2,25;1,79;0,91;0,077
2001-08-24;1,7;-0,28;-1,31;0,077
2001-08-31;-4;1,27;1,32;0,077
2001-09-07;-4,35;-0,38;0,98;0,069
2001-09-10;0,32;-1,06;-0,54;0,069
2001-09-21;-11,95;-2,87;-0,32;0,069
2001-09-28;7,43;-2,38;1,74;0,069
2001-10-05;2,92;0,83;-3,45;0,056
2001-10-12;2,18;0,93;-0,59;0,056
2001-10-19;-1,54;2,25;-1,71;0,056
2001-10-26;2,92;1,18;-2,96;0,056
2001-11-02;-1,68;0,76;1,01;0,044
2001-11-09;2,79;-1,37;-0,21;0,044
2001-11-16;1,88;0,09;2,23;0,044
2001-11-23;1,02;0,75;-0,5;0,044
2001-11-30;-0,64;1,46;0,79;0,044
2001-12-07;2,02;1,68;0,19;0,037
2001-12-14;-2,87;2,07;0,03;0,037
2001-12-21;1,96;0,11;0,27;0,037
2001-12-28;1,62;0,51;-0,48;0,037
2002-01-04;1,05;0,5;0,99;0,035
2002-01-11;-2,14;0,74;1,44;0,035
2002-01-18;-1,83;-1,07;0,94;0,035
2002-01-25;0,58;0,05;0,47;0,035
2002-02-01;-0,85;1,52;0,11;0,032
2002-02-08;-2,34;-0,8;0,78;0,032
2002-02-15;0,66;0,79;-1,05;0,032
2002-02-22;-1,41;-0,06;1,37;0,032
2002-03-01;3,79;-1,94;1,22;0,033
2002-03-08;3,15;1,09;0,19;0,033
2002-03-15;0,09;0,42;-0,01;0,033
2002-03-22;-1,19;2,08;0,54;0,033
2002-03-28;-0,04;0,92;0,59;0,033
2002-04-05;-2,15;0,22;1,8;0,038
2002-04-12;-0,51;3,59;1,42;0,038
2002-04-19;1,26;-0,43;0,6;0,038
2002-04-26;-4,13;1,25;0,56;0,038
2002-05-03;-0,13;1,65;1,21;0,036
2002-05-10;-1,79;-2,06;0,98;0,036
2002-05-17;4,65;-0,62;-2,58;0,036
2002-05-24;-2,2;-1,41;1,57;0,036
2002-05-31;-1,47;0,65;-0,2;0,036
2002-06-07;-3,51;-0,36;1,16;0,032
2002-06-14;-2,11;0,8;-1,54;0,032
2002-06-21;-1,77;1,94;1,31;0,032
2002-06-28;0,01;1,89;-0,66;0,032
2002-07-05;-0,75;-3,27;-0,66;0,039
2002-07-12;-6,47;0,82;0,5;0,039
2002-07-19;-7,25;1,31;-0,64;0,039
2002-07-26;0,11;-0,46;-3,35;0,039
2002-08-02;1,22;-3,19;0,26;0,035
2002-08-09;4,8;-2,15;-0,63;0,035
2002-08-16;2,33;-1,07;0,45;0,035
2002-08-23;1,22;-0,31;1,19;0,035
2002-08-30;-2,58;-0,59;1,84;0,035
2002-09-06;-2,04;1,52;1,17;0,036
2002-09-13;-0,47;0,26;0;0,036
2002-09-20;-5,05;-0,55;0,76;0,036
2002-09-27;-1,92;-0,05;0,11;0,036
2002-10-04;-3,48;0,91;-0,77;0,034
2002-10-11;3,8;-4,11;-2,92;0,034
2002-10-18;5,8;-0,38;-1,22;0,034
2002-10-25;1,51;0,05;1,27;0,034
2002-11-01;0,63;2,5;-0,96;0,029
2002-11-08;-0,79;0,26;-0,23;0,029
2002-11-15;1,77;-0,09;-0,8;0,029
2002-11-22;2,36;1,11;-0,68;0,029
2002-11-29;0,72;0,95;0,95;0,029
2002-12-06;-2,51;0,53;0,32;0,028
2002-12-13;-2,39;0;1,07;0,028
2002-12-20;0,59;-1,04;0,14;0,028
2002-12-27;-2;1,43;-0,05;0,028
2003-01-03;3,5;-2,22;0,56;0,024
2003-01-10;2,06;-0,32;-0,16;0,024
2003-01-17;-2,63;0,61;1,39;0,024
2003-01-24;-4,23;1,57;-0,95;0,024
2003-01-31;-0,66;0,66;-0,93;0,024
2003-02-07;-3,12;0,23;-0,52;0,022
2003-02-14;0,35;-0,28;-0,92;0,022
2003-02-21;1,73;-0,03;-0,15;0,022
2003-02-28;-0,78;-0,37;0,21;0,022
2003-03-07;-1,42;-0,44;0,15;0,025
2003-03-14;0,58;0,12;-1,54;0,025
2003-03-21;7,21;-1,49;-0,83;0,025
2003-03-28;-3,29;1,93;-0,07;0,025
2003-04-04;1,68;-0,16;0,31;0,024
2003-04-11;-1,14;0,35;1,22;0,024
2003-04-17;2,92;0,29;-0,39;0,024
2003-04-25;0,7;0,42;0,36;0,024
2003-05-02;3,7;1,51;-0,79;0,022
2003-05-09;0,53;1,21;0,28;0,022
2003-05-16;1,22;-1,32;1,39;0,022
2003-05-23;-0,81;0,83;0,75;0,022
2003-05-30;3,48;2,65;-1,37;0,022
2003-06-06;2,57;0,72;-0,91;0,025
2003-06-13;0,07;-0,44;0,79;0,025
2003-06-20;0,65;0,11;-0,29;0,025
2003-06-27;-1,65;1,43;0,14;0,025
2003-07-03;1,11;0,99;0,17;0,017
2003-07-11;1,65;2,2;0,4;0,017
2003-07-18;-0,7;-0,88;-0,57;0,017
2003-07-25;0,56;0,62;-0,85;0,017
2003-08-01;-1,52;1,6;-0,27;0,017
2003-08-08;-0,7;-2,11;-0,3;0,017
2003-08-15;1,74;2,17;0,38;0,017
2003-08-22;0,71;2,17;1,12;0,017
2003-08-29;1,66;0,81;0,4;0,017
2003-09-05;1,42;1,18;0,26;0,021
2003-09-12;-0,26;1,13;-0,76;0,021
2003-09-19;1,8;0,39;0,48;0,021
2003-09-26;-4,13;-2,27;0,01;0,021
2003-10-03;3,55;1,62;0,47;0,018
2003-10-10;0,99;0,27;1,57;0,018
2003-10-17;0,12;0,6;0,16;0,018
2003-10-24;-1,09;-1,2;-0,81;0,018
2003-10-31;2,45;1,74;0,64;0,018
2003-11-07;0,68;1,99;1,22;0,018
2003-11-14;-0,44;-1,03;-0,88;0,018
2003-11-21;-1,4;-0,17;0,46;0,018
2003-11-28;2,54;1,11;0,8;0,018
2003-12-05;-0,03;-1,04;-0,11;0,02
2003-12-12;1,04;-0,01;0,51;0,02
2003-12-19;1,12;-1,48;0,57;0,02
2003-12-26;0,73;0,73;0,37;0,02
2004-01-02;1,17;-0,02;0,67;0,017
2004-01-09;1,46;1,34;1,17;0,017
2004-01-16;1,73;1,1;0,99;0,017
2004-01-23;0,32;0,39;0,77;0,017
2004-01-30;-1,19;-1,27;-0,95;0,017
2004-02-06;0,91;-0,6;-0,21;0,016
2004-02-13;0,47;-0,3;0,34;0,016
2004-02-20;-0,27;-0,79;0,27;0,016
2004-02-27;0,29;0,26;0,57;0,016
2004-03-05;1,25;0,83;0,4;0,022
2004-03-12;-3,07;0,28;-0,42;0,022
2004-03-19;-1,12;-1,21;0,37;0,022
2004-03-26;-0,13;0,65;-0,19;0,022
2004-04-02;3,4;2,28;0,28;0,02
2004-04-08;-0,15;-0,02;-0,15;0,02
2004-04-16;-0,8;-0,83;-1,38;0,02
2004-04-23;0,75;0,68;-0,39;0,02
2004-04-30;-3,15;-2,37;-1,2;0,02
2004-05-07;-0,98;-0,69;-1,09;0,015
2004-05-14;-0,49;-0,8;-0,44;0,015
2004-05-21;-0,11;0,21;0,62;0,015
2004-05-28;2,79;1,13;0,72;0,015
2004-06-04;0,11;-0,12;-0,13;0,021
2004-06-10;0,94;-0,76;0,62;0,021
2004-06-18;-0,15;0,44;-0,16;0,021
2004-06-25;0,39;2,12;0,67;0,021
2004-07-02;-0,82;0,1;1,22;0,024
2004-07-09;-1,43;-2,04;1,18;0,024
2004-07-16;-1,09;-1,01;1,71;0,024
2004-07-23;-1,66;-1,39;0,55;0,024
2004-07-30;1,43;0,87;-1,03;0,024
2004-08-06;-3,77;-2,41;2,25;0,028
2004-08-13;0,03;-0,5;0,07;0,028
2004-08-20;3,5;2,01;-1,42;0,028
2004-08-27;0,83;-0,05;-0,48;0,028
2004-09-03;0,55;0,15;0,28;0,029
2004-09-10;1,11;1,39;-0,89;0,029
2004-09-17;0,53;0,05;0,08;0,029
2004-09-24;-1,45;0,22;0,87;0,029
2004-10-01;1,96;1,37;-0,05;0,028
2004-10-08;-0,9;-0,81;0,85;0,028
2004-10-15;-1,22;0,19;-0,77;0,028
2004-10-22;-0,93;0,79;-0,54;0,028
2004-10-29;3,06;-0,58;0,35;0,028
2004-11-05;3,2;0,28;-0,26;0,039
2004-11-12;1,66;1,02;-0,06;0,039
2004-11-19;-1,03;0,09;0,68;0,039
2004-11-26;1,25;1,16;1,13;0,039
2004-12-03;0,86;1,05;-1,33;0,041
2004-12-10;-0,42;-1,29;0,29;0,041
2004-12-17;0,8;0,85;0,86;0,041
2004-12-23;1,26;-0,07;-0,1;0,041
2004-12-31;0,29;0,45;0,06;0,041
2005-01-07;-2,64;-3,19;0,42;0,041
2005-01-14;0;0,43;0,85;0,041
2005-01-21;-1,33;0,24;0,38;0,041
2005-01-28;0,25;0,16;0,31;0,041
2005-02-04;2,9;0,91;0,44;0,041
2005-02-11;0,08;-0,74;0,36;0,041
2005-02-18;-0,33;-0,39;0,65;0,041
2005-02-25;0,84;0,18;0,1;0,041
2005-03-04;0,84;0,14;1,02;0,053
2005-03-11;-1,77;-0,95;0,37;0,053
2005-03-18;-0,86;-0,14;1,25;0,053
2005-03-24;-1,41;0,62;-0,96;0,053
2005-04-01;-0,02;-0,97;1,01;0,051
2005-04-08;0,59;-0,67;-0,24;0,051
2005-04-15;-3,41;-1,37;-0,54;0,051
2005-04-22;0,7;0,38;0,27;0,051
2005-04-29;0,16;-2,37;0,22;0,051
2005-05-06;1,53;1,38;-0,11;0,06
2005-05-13;-1,55;-0,46;-1,28;0,06
2005-05-20;3,2;1,12;-0,11;0,06
2005-05-27;0,95;0,38;0,56;0,06
2005-06-03;-0,04;0,54;0,64;0,057
2005-06-10;0,2;0,52;0,96;0,057
2005-06-17;1,64;0,88;0,62;0,057
2005-06-24;-1,99;-0,48;0,56;0,057
2005-07-01;0,58;1,53;0,52;0,059
2005-07-08;1,63;1,32;-0,91;0,059
2005-07-15;1,18;-0,61;-0,67;0,059
