Change_date;Ticker_added;ticker_removed
December 18, 2023;UBER;SEE
December 18, 2023;JBL;ALK
December 18, 2023;BLDR;SEDG
October 18, 2023;HUBB;OGN
October 3, 2023;N/A;DXC
September 18, 2023;BX;LNC
September 18, 2023;ABNB;NWL
June 20, 2023;PANW;DISH
March 20, 2023;FICO;LUMN
January 5, 2023;N/A;VNO
December 19, 2022;FSLR;FBHS
December 19, 2022;N/A;MBC
September 19, 2022;CSGP;PVH
September 19, 2022;INVH;PENN
June 21, 2022;N/A;UA
June 21, 2022;KDP;UAA
June 21, 2022;ON;IPGP
February 3, 2022;N/A;GPS
December 20, 2021;SBNY;LEG
December 20, 2021;SEDG;HBI
December 20, 2021;FDS;WU
September 20, 2021;MTCH;PRGO
September 20, 2021;CDAY;UNM
September 20, 2021;BRO;NOV
June 4, 2021;N/A;HFC
March 22, 2021;NXPI;FLS
March 22, 2021;PENN;SLG
March 22, 2021;GNRC;XRX
March 22, 2021;CZR;VNT
September 21, 2020;ETSY;HRB
September 21, 2020;TER;COTY
September 21, 2020;CTLT;KSS
June 22, 2020;BIO;ADS
June 22, 2020;TDY;HOG
June 22, 2020;TYL;JWN
May 22, 2020;WST;HP
May 12, 2020;DPZ;CPRI
April 6, 2020;N/A;M
December 23, 2019;LYV;AMG
December 23, 2019;ZBRA;TRIP
December 23, 2019;STE;MAC
October 3, 2019;LVS;NKTR
August 9, 2019;IEX;FL
December 3, 2018;FANG;SRCL
June 18, 2018;BR;RRC
June 18, 2018;HFC;AYI
March 19, 2018;TTWO;SIG
March 19, 2018;SIVB;PDCO
March 19, 2018;NKTR;CHK
July 26, 2017;DRE;RIG
July 26, 2017;AOS;BBBY
July 26, 2017;PKG;MUR
July 26, 2017;RMD;MNK
June 19, 2017;ALGN;TDC
June 19, 2017;ANSS;R
March 20, 2017;AMD;URBN
March 20, 2017;RJF;FTR
March 20, 2017;ARE;FSLR
December 2, 2016;MAA;OI
December 2, 2016;EVHC;LM
October 7, 2015;VRSK;JOY
April 7, 2015;O;WIN
March 23, 2015;EQIX;DNR
March 23, 2015;SLG;NBR
March 23, 2015;HBI;AVP
December 5, 2014;RCL;BMS
November 5, 2014;LVLT;JBL
September 20, 2014;URI;BTU
September 20, 2014;UHS;GHC
August 18, 2014;MNK;RDC
July 2, 2014;MLM;X
June 20, 2014;XEC;IGT
April 2, 2014;ESS;CLF
March 21, 2014;GMCR;WPX
December 23, 2013;ADS;ANF
December 23, 2013;MHK;JDSU
December 23, 2013;FB;TER
September 20, 2013;VRTX;AMD
September 20, 2013;AME;SAI
February 15, 2013;PVH;BIG
December 11, 2012;GRMN;RRD
December 31, 2011;WPX;CPWR
December 16, 2011;BWA;AKS
December 16, 2011;PRGO;MWW
December 16, 2011;DLTR;WFR
October 31, 2011;XYL;ITT
October 14, 2011;TEL;CEPH
September 23, 2011;MOS;NSM
July 5, 2011;ACN;MI
June 30, 2011;MPC;RSH
June 1, 2011;ANR;MEE
April 27, 2011;CMG;NOVL
April 1, 2011;BLK;GENZ
March 31, 2011;EW;Q
February 28, 2011;COV;MFE
February 25, 2011;JOYG;AYE
December 17, 2010;CVC;KG
December 17, 2010;FFIV;EK
December 17, 2010;NFLX;ODP
December 17, 2010;NFX;NYT
November 17, 2010;IR;PTV
August 26, 2010;TYC;SII
July 14, 2010;CB;MIL
June 30, 2010;QEP;STR
June 28, 2010;KMX;XTO
April 29, 2010;CERN;BJS
February 26, 2010;HP;RX
December 18, 2009;V;CIEN
December 18, 2009;MJN;DYN
December 18, 2009;CLF;KBH
December 18, 2009;SAI;CVG
December 18, 2009;ROST;MBI
November 3, 2009;PCLN;SGP
September 28, 2009;ARG;CBE
August 19, 2009;FMC;CTX
June 29, 2009;PCS;
June 25, 2009;N/A;TEL
June 5, 2009;FTI;COV
March 3, 2009;HRL;ACAS
March 3, 2009;VTR;JNY
December 31, 2008;OI;WB
September 16, 2008;HRS;LEH
September 12, 2008;CRM;FRE
September 12, 2008;FAST;FNM
July 1, 2008;AKS;CFC
June 23, 2008;COG;BC
June 23, 2008;MEE;OMX
June 10, 2008;LO;ABK
December 20, 2007;RRC;TRB
December 13, 2007;GME;DJ
October 26, 2007;JEC;AV
October 2, 2007;EXPE;SLR
October 1, 2007;TDC;NCR
September 27, 2007;TSO;MXIM
September 26, 2007;ICE;FDC
August 24, 2007;LUK;KSE
July 2, 2007;DFS;
March 30, 2007;KFT;TSG
January 10, 2007;AVB;SBL
June 2, 2006;JNPR;ABS
November 18, 2005;AMZN;T
July 1, 2005;STZ;GLK
September 25, 2003;ESRX;QTRN
December 5, 2000;INTU;BS
December 5, 2000;SBL;OI
December 5, 2000;AYE;GRA
December 5, 2000;ABK;CCK
July 27, 2000;JDSU;RAD
June 12, 2000;CVG;TMC
June 7, 2000;SBUX;SMS
December 7, 1999;YHOO;LDW
June 9, 1999;WLP;HPH
December 11, 1998;FSR;LDW
December 11, 1998;CCL;GRN
December 11, 1998;CPWR;SUN
June 17, 1997;CCI;USL
