Date;Mkt-RF;SMB;HML;RF;rendimientos apple ;% Fundflows
 ene-2008;-6,36;-1,03;3,97;2,10%;-38,10%;-6,05%
 feb-2008;-3,09;-0,43;-0,84;1,30%;-7,97%;-18,24%
 mar-2008;-0,93;0,71;0,3;1,70%;13,80%;16,21%
 abr-2008;4,6;-1,72;-0,94;1,80%;19,30%;-9,05%
 may-2008;1,86;2,96;-1,43;1,80%;8,19%;-2,11%
 jun-2008;-8,44;1,23;-2,71;1,70%;-11,96%;5,72%
 jul-2008;-0,77;2,61;5,42;1,50%;-5,15%;4,61%
 ago-2008;1,53;3,6;1,59;1,30%;6,31%;4,45%
 sep-2008;-9,24;-1,23;5,91;1,50%;-39,89%;18,89%
 oct-2008;-17,23;-2,6;-2,3;0,80%;-5,57%;5,08%
 nov-2008;-7,86;-2,85;-6,31;0,30%;-14,85%;6,38%
 dic-2008;1,74;3,46;0,14;0,00%;-8,18%;12,11%
 ene-2009;-8,12;0,07;-11,29;0,00%;5,42%;-1,59%
 feb-2009;-10,1;0,05;-6,95;0,10%;-0,94%;-8,85%
 mar-2009;8,95;0,03;3,47;0,20%;16,17%;-5,88%
 abr-2009;10,18;5,4;5,36;0,10%;18,01%;-2,79%
 may-2009;5,21;-2,52;0,28;0,00%;7,71%;-0,48%
 jun-2009;0,43;2,63;-2,73;0,10%;4,83%;0,92%
 jul-2009;7,72;1,87;4,83;0,10%;13,75%;0,07%
 ago-2009;3,33;-1,08;7,63;0,10%;2,87%;0,80%
 sep-2009;4,08;2,43;1,05;0,10%;9,67%;-2,74%
 oct-2009;-2,59;-4,35;-4,21;0,00%;1,65%;-1,14%
 nov-2009;5,56;-2,4;-0,34;0,00%;5,91%;0,20%
 dic-2009;2,75;6,05;-0,17;0,10%;5,32%;9,27%
 ene-2010;-3,36;0,4;0,43;0,00%;-9,32%;-12,47%
 feb-2010;3,4;1,19;3,23;0,00%;6,35%;1,43%
 mar-2010;6,31;1,48;2,21;0,10%;13,78%;4,32%
 abr-2010;2;4,87;2,89;0,10%;10,51%;-2,26%
 may-2010;-7,89;0,09;-2,44;0,10%;-1,62%;1,09%
 jun-2010;-5,57;-1,82;-4,7;0,10%;-2,09%;3,04%
 jul-2010;6,93;0,2;-0,31;0,10%;2,31%;-2,04%
 ago-2010;-4,77;-3;-1,9;0,10%;-5,71%;-5,37%
 sep-2010;9,54;3,96;-3,16;0,10%;15,45%;8,81%
 oct-2010;3,88;1,14;-2,43;0,10%;5,94%;-0,11%
 nov-2010;0,6;3,77;-0,96;0,10%;3,29%;-0,98%
 dic-2010;6,82;0,73;3,7;0,10%;3,62%;7,36%
 ene-2011;1,99;-2,5;0,83;0,10%;5,08%;2,48%
 feb-2011;3,49;1,53;1,27;0,10%;3,96%;-0,52%
 mar-2011;0,46;2,54;-1,83;0,10%;-1,28%;-4,09%
 abr-2011;2,9;-0,38;-2,43;0,00%;0,40%;3,28%
 may-2011;-1,27;-0,59;-2,12;0,00%;-0,64%;-4,03%
 jun-2011;-1,75;-0,12;-0,42;0,00%;-3,52%;3,07%
 jul-2011;-2,35;-1,26;-0,9;0,00%;15,14%;2,61%
 ago-2011;-5,99;-3,05;-2,36;0,10%;-1,52%;2,06%
 sep-2011;-7,59;-3,31;-1,72;0,00%;-0,88%;-3,89%
 oct-2011;11,35;3,28;0,1;0,00%;5,98%;2,71%
 nov-2011;-0,28;-0,16;-0,46;0,00%;-5,76%;-3,28%
 dic-2011;0,74;-0,59;1,63;0,00%;5,76%;6,47%
 ene-2012;5,05;2,04;-0,97;0,00%;11,98%;1,67%
 feb-2012;4,42;-1,85;0,43;0,00%;17,26%;-2,64%
 mar-2012;3,11;-0,64;1,14;0,00%;10,01%;2,64%
 abr-2012;-0,85;-0,42;-0,78;0,00%;-2,60%;-0,78%
 may-2012;-6,19;0,07;-1,07;0,10%;-1,11%;0,02%
 jun-2012;3,89;0,67;0,62;0,00%;1,11%;2,78%
 jul-2012;0,79;-2,74;-0,02;0,00%;4,45%;2,90%
 ago-2012;2,55;0,47;1,3;0,10%;8,56%;-2,50%
 sep-2012;2,73;0,5;1,6;0,10%;0,29%;7,28%
 oct-2012;-1,76;-1,15;3,59;0,10%;-11,41%;-4,98%
 nov-2012;0,78;0,63;-0,84;0,10%;-1,71%;1,27%
 dic-2012;1,18;1,48;3,51;0,10%;-9,48%;9,34%
 ene-2013;5,57;0,33;0,96;0,00%;-15,56%;-1,08%
