Change_date;Ticker_added;added;ticker_removed;removed
December 18, 2023;UBER;Uber;SEE;Sealed Air
December 18, 2023;JBL;Jabil;ALK;Alaska Air Group
December 18, 2023;BLDR;Builders FirstSource;SEDG;SolarEdge
October 18, 2023;HUBB;Hubbell;OGN;Organon & Co.
October 3, 2023;N/A;N/A;DXC;DXC Technology
September 18, 2023;BX;Blackstone;LNC;Lincoln National Corporation
September 18, 2023;ABNB;Airbnb;NWL;Newell Brands
June 20, 2023;PANW;Palo Alto Networks;DISH;Dish Network
March 20, 2023;FICO;Fair Isaac;LUMN;Lumen Technologies
January 5, 2023;N/A;N/A;VNO;Vornado Realty Trust
December 19, 2022;FSLR;First Solar;FBHS;Fortune Brands Home & Security
December 19, 2022;N/A;N/A;MBC;MasterBrand
September 19, 2022;CSGP;CoStar Group;PVH;PVH
September 19, 2022;INVH;Invitation Homes;PENN;Penn Entertainment
June 21, 2022;N/A;N/A;UA;Under Armour (Class C)
June 21, 2022;KDP;Keurig Dr Pepper;UAA;Under Armour (Class A)
June 21, 2022;ON;ON Semiconductor;IPGP;IPG Photonics
February 3, 2022;N/A;N/A;GPS;Gap
December 20, 2021;SBNY;Signature Bank;LEG;Leggett & Platt
December 20, 2021;SEDG;SolarEdge;HBI;Hanesbrands
December 20, 2021;FDS;FactSet;WU;Western Union
September 20, 2021;MTCH;Match Group;PRGO;Perrigo
September 20, 2021;CDAY;Ceridian;UNM;Unum
September 20, 2021;BRO;Brown & Brown;NOV;Nov
June 4, 2021;N/A;N/A;HFC;HollyFrontier
March 22, 2021;NXPI;NXP;FLS;Flowserve
March 22, 2021;PENN;Penn National Gaming;SLG;SL Green Realty
March 22, 2021;GNRC;Generac Holdings;XRX;Xerox
March 22, 2021;CZR;Caesars Entertainment;VNT;Vontier
September 21, 2020;ETSY;Etsy;HRB;H&R Block
September 21, 2020;TER;Teradyne;COTY;Coty
September 21, 2020;CTLT;Catalent;KSS;Kohl's
June 22, 2020;BIO;Bio-Rad Laboratories;ADS;Alliance Data Systems
June 22, 2020;TDY;Teledyne;HOG;Harley-Davidson
June 22, 2020;TYL;Tyler Technologies;JWN;Nordstrom
May 22, 2020;WST;West Pharmaceutical Services;HP;Helmerich & Payne
